sale_id,transaction_id,product_id,quantity,unit_price,total_price
1,1,293,3,1.1,3.3
2,2,520,3,2.0,6.0
3,2,600,2,25.0,50.0
4,2,30,5,1.4,7.0
5,2,95,5,3.5,17.5
6,3,835,1,4.9,4.9
7,3,110,1,9.5,9.5
8,4,512,1,1.8,1.8
9,4,806,4,3.9,15.6
10,4,188,5,2.2,11.0
11,4,255,4,2.5,10.0
12,5,91,3,1.8,5.4
13,5,636,3,4.5,13.5
14,5,483,2,3.5,7.0
15,6,406,3,1.8,5.4
16,6,621,4,3.5,14.0
17,6,977,3,5.99,17.97
18,6,542,1,2.5,2.5
19,7,726,2,4.5,9.0
20,7,388,1,1.8,1.8
21,7,262,1,0.8,0.8
22,8,820,1,2.8,2.8
23,8,60,2,2.9,5.8
24,8,249,1,9.99,9.99
25,8,887,4,5.9,23.6
26,8,262,1,0.8,0.8
27,9,268,2,1.1,2.2
28,9,720,1,14.99,14.99
29,9,653,2,99.99,199.98
30,9,42,2,1.5,3.0
31,10,946,5,4.5,22.5
32,11,464,5,1.5,7.5
33,11,948,5,4.2,21.0
34,12,907,1,6.5,6.5
35,12,279,3,1.1,3.3
36,12,708,4,8.99,35.96
37,12,786,3,3.5,10.5
38,13,257,3,3.5,10.5
39,13,684,1,12.99,12.99
40,13,722,1,15.99,15.99
41,14,724,4,7.9,31.6
42,14,539,1,1.8,1.8
43,14,403,1,3.5,3.5
44,14,390,3,2.0,6.0
45,14,460,2,2.5,5.0
46,15,532,3,5.9,17.7
47,15,66,3,8.99,26.97
48,15,694,5,6.9,34.5
49,15,979,5,4.99,24.95
50,16,313,2,11.99,23.98
51,16,851,2,5.5,11.0
52,16,95,4,3.5,14.0
53,16,361,1,1.7,1.7
54,16,34,1,2.3,2.3
55,17,587,5,1.9,9.5
56,17,745,1,4.5,4.5
57,17,917,1,3.9,3.9
58,17,505,4,3.2,12.8
59,18,108,2,4.5,9.0
60,18,341,3,2.5,7.5
61,19,275,2,1.1,2.2
62,19,767,5,1.8,9.0
63,20,101,5,1.5,7.5
64,20,40,5,3.1,15.5
65,21,838,1,3.5,3.5
66,21,82,2,3.2,6.4
67,22,536,5,3.5,17.5
68,22,842,1,3.2,3.2
69,22,629,4,4.5,18.0
70,22,574,4,2.2,8.8
71,22,681,1,9.99,9.99
72,23,168,3,1.9,5.7
73,23,423,1,3.2,3.2
74,23,650,5,3.9,19.5
75,23,493,3,7.99,23.97
76,23,906,5,7.9,39.5
77,24,955,2,6.5,13.0
78,24,54,4,3.5,14.0
79,25,320,1,4.0,4.0
80,25,767,2,1.8,3.6
81,25,963,1,2.5,2.5
82,25,670,3,3.5,10.5
83,25,317,2,3.9,7.8
84,26,730,2,5.5,11.0
85,26,431,2,3.9,7.8
86,26,725,2,9.99,19.98
87,26,48,4,0.6,2.4
88,27,537,5,3.9,19.5
89,27,297,5,1.1,5.5
90,28,503,2,3.5,7.0
91,28,408,1,1.7,1.7
92,28,849,1,2.5,2.5
93,28,926,3,1.5,4.5
94,28,94,2,4.9,9.8
95,29,25,2,3.9,7.8
96,29,91,1,1.8,1.8
97,29,630,4,5.5,22.0
98,29,190,3,4.5,13.5
99,30,113,3,3.2,9.6
100,31,420,2,4.2,8.4
101,31,874,2,4.2,8.4
102,31,814,5,12.9,64.5
103,32,768,2,1.5,3.0
104,32,626,3,3.9,11.7
105,33,427,4,3.9,15.6
106,33,614,4,4.2,16.8
107,33,572,1,1.5,1.5
108,33,43,1,1.8,1.8
109,34,49,3,1.9,5.7
110,34,503,5,3.5,17.5
111,35,1000,3,69.99,209.97
112,35,60,3,2.9,8.7
113,36,99,5,14.99,74.95
114,36,196,2,3.5,7.0
115,37,618,2,6.99,13.98
116,37,362,1,1.7,1.7
117,37,735,2,7.5,15.0
118,37,235,1,1.5,1.5
119,37,973,2,9.99,19.98
120,38,633,4,3.9,15.6
121,39,161,2,1.2,2.4
122,39,522,2,6.5,13.0
123,39,672,4,19.99,79.96
124,39,256,1,2.8,2.8
125,39,72,4,9.99,39.96
126,40,495,2,6.99,13.98
127,40,235,3,1.5,4.5
128,40,44,3,2.2,6.6
129,41,881,5,2.5,12.5
130,41,593,4,1.6,6.4
131,41,975,5,3.5,17.5
132,41,232,4,2.5,10.0
133,42,657,2,19.99,39.98
134,42,159,2,2.2,4.4
135,43,940,4,2.5,10.0
136,43,524,5,11.99,59.95
137,44,8,5,1.5,7.5
138,44,419,5,3.5,17.5
139,44,226,2,5.5,11.0
140,45,511,3,2.2,6.6
141,46,908,2,8.9,17.8
142,46,562,1,2.5,2.5
143,47,58,1,3.1,3.1
144,48,904,5,3.9,19.5
145,48,95,5,3.5,17.5
146,49,942,4,5.5,22.0
147,49,711,4,7.99,31.96
148,49,776,5,2.5,12.5
149,49,311,1,7.5,7.5
150,50,200,4,9.99,39.96
151,51,315,1,5.5,5.5
152,52,666,1,29.99,29.99
153,52,957,1,3.9,3.9
154,52,661,3,4.9,14.7
155,52,336,1,2.5,2.5
156,52,395,2,2.5,5.0
157,53,872,5,4.5,22.5
158,53,801,2,2.5,5.0
159,53,791,4,4.5,18.0
160,54,663,3,39.99,119.97
161,54,922,1,3.5,3.5
162,55,139,4,3.9,15.6
163,55,975,1,3.5,3.5
164,55,130,2,1.8,3.6
165,55,780,2,4.9,9.8
166,56,74,2,6.99,13.98
167,56,419,2,3.5,7.0
168,57,691,1,2.8,2.8
169,57,129,2,2.2,4.4
170,57,803,2,3.9,7.8
171,57,469,1,4.5,4.5
172,57,964,4,1.8,7.2
173,58,875,5,3.9,19.5
174,58,772,3,8.99,26.97
175,58,811,4,3.9,15.6
176,59,48,2,0.6,1.2
177,59,466,1,2.5,2.5
178,59,291,5,1.1,5.5
179,60,214,5,5.99,29.95
180,61,307,4,0.6,2.4
181,61,734,4,4.9,19.6
182,61,573,5,1.2,6.0
183,61,392,1,2.2,2.2
184,61,202,3,12.99,38.97
185,62,61,4,5.5,22.0
186,62,614,1,4.2,4.2
187,62,427,3,3.9,11.7
188,63,321,1,7.9,7.9
189,63,894,3,2.5,7.5
190,63,693,5,4.9,24.5
191,63,730,5,5.5,27.5
192,64,646,3,2.5,7.5
193,64,7,4,3.2,12.8
194,64,818,5,4.9,24.5
195,64,216,2,6.99,13.98
196,64,58,1,3.1,3.1
197,65,261,4,2.9,11.6
198,65,875,5,3.9,19.5
